PROD_EST,COBERTURA,ANIO,Estado,Industria,VAL_USD,ESTATUS_CIFRA,ESTATUS
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Hidalgo,Otras industrias manufactureras,9791,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,Subsectores no especificados,6262,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,Industria alimentaria,255194,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,Industria de las bebidas y del tabaco,700941,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,Fabricación de insumos textiles y acabado de textiles,16701,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,"Fabricación de productos textiles, excepto prendas de vestir",23081,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,Fabricación de prendas de vestir,103337,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",42730,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,Industria del papel,8281,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,Impresión e industrias conexas,2371,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,Industria química,390664,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,Industria del plástico y del hule,278964,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,Fabricación de productos a base de minerales no metálicos,6371,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,Industrias metálicas básicas,105136,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,Fabricación de productos metálicos,174444,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,Fabricación de maquinaria y equipo,14249,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",10344633,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",165990,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,Fabricación de equipo de transporte,1774111,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,"Fabricación de muebles, colchones y persianas",18201,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Jalisco,Otras industrias manufactureras,14311,Disponible,Cifras Revisadas.
