Year,Estado,Subindustria,USD
2011,Hidalgo,"Fabricacion de productos textiles, excepto prendas de vestir",967
2011,Hidalgo,Fabricacion de prendas de vestir,65424
2011,Hidalgo,Industria del papel,849
2011,Hidalgo,Fabricacion de productos derivados del petroleo y del carbon,788368
2011,Hidalgo,Industria quimica,9572
2011,Hidalgo,Industria del plastico y del hule,47599
2011,Hidalgo,Fabricacion de productos a base de minerales no metalicos,27747
2011,Hidalgo,Industrias metalicas basicas,94361
2011,Hidalgo,Fabricacion de productos metalicos,1968
2011,Hidalgo,Fabricacion de maquinaria y equipo,11147
2011,Hidalgo,"Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica",28958
2011,Hidalgo,Fabricacion de equipo de transporte,354477
2011,Jalisco,Subsectores no especificados,0
2011,Jalisco,"Mineria de minerales metalicos y no metalicos, excepto petroleo y gas",26480
2011,Jalisco,Industria alimentaria,435502
2011,Jalisco,Industria de las bebidas y del tabaco,771764
2011,Jalisco,Fabricacion de insumos textiles y acabado de textiles,348
2011,Jalisco,"Fabricacion de productos textiles, excepto prendas de vestir",5372
2011,Jalisco,Fabricacion de prendas de vestir,84623
2011,Jalisco,"Curtido y acabado de cuero y piel, y fabricacion de productos de cuero, piel y materiales sucedaneos",20069
2011,Jalisco,Industria de la madera,64
2011,Jalisco,Industria del papel,7694
2011,Jalisco,Impresion e industrias conexas,41953
2011,Jalisco,Fabricacion de productos derivados del petroleo y del carbon,14720
2011,Jalisco,Industria quimica,649521
2011,Jalisco,Industria del plastico y del hule,312760
2011,Jalisco,Fabricacion de productos a base de minerales no metalicos,16841
2011,Jalisco,Industrias metalicas basicas,70397
2011,Jalisco,Fabricacion de productos metalicos,249418
2011,Jalisco,Fabricacion de maquinaria y equipo,45204
2011,Jalisco,"Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos",10964964
2011,Jalisco,"Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica",109673
2011,Jalisco,Fabricacion de equipo de transporte,1465969
2011,Jalisco,"Fabricacion de muebles, colchones y persianas",11154
2011,Jalisco,Otras industrias manufactureras,28712
2011,Mexico,Subsectores no especificados,79282
2011,Mexico,Industria alimentaria,746325
2011,Mexico,Industria de las bebidas y del tabaco,80930
2011,Mexico,Fabricacion de insumos textiles y acabado de textiles,93928
2011,Mexico,"Fabricacion de productos textiles, excepto prendas de vestir",50159
2011,Mexico,Fabricacion de prendas de vestir,192941
2011,Mexico,Industria de la madera,4697
2011,Mexico,Industria del papel,80836
2011,Mexico,Impresion e industrias conexas,7993
2011,Mexico,Fabricacion de productos derivados del petroleo y del carbon,10812
2011,Mexico,Industria quimica,1538925
2011,Mexico,Industria del plastico y del hule,551502
2011,Mexico,Fabricacion de productos a base de minerales no metalicos,379476
2011,Mexico,Industrias metalicas basicas,358192
2011,Mexico,Fabricacion de productos metalicos,523571
2011,Mexico,Fabricacion de maquinaria y equipo,283617
2011,Mexico,"Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos",164050
2011,Mexico,"Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica",269896
2011,Mexico,Fabricacion de equipo de transporte,8385919
2011,Mexico,"Fabricacion de muebles, colchones y persianas",41324
2011,Mexico,Otras industrias manufactureras,2076156
2011,Michoacan,Subsectores no especificados,759205
2011,Michoacan,"Mineria de minerales metalicos y no metalicos, excepto petroleo y gas",8169
2011,Michoacan,Industria alimentaria,185540
2011,Michoacan,Industria de las bebidas y del tabaco,0
2011,Michoacan,"Fabricacion de productos textiles, excepto prendas de vestir",8
2011,Michoacan,Fabricacion de prendas de vestir,4216
2011,Michoacan,Industria del papel,10191
2011,Michoacan,Industria quimica,44742
2011,Michoacan,Industria del plastico y del hule,128613
2011,Michoacan,Fabricacion de maquinaria y equipo,1623
2011,Michoacan,"Fabricacion de muebles, colchones y persianas",0
2011,Morelos,Subsectores no especificados,100331
2011,Morelos,Industria alimentaria,64350
2011,Morelos,Fabricacion de insumos textiles y acabado de textiles,51077
2011,Morelos,"Fabricacion de productos textiles, excepto prendas de vestir",0
2011,Morelos,Fabricacion de prendas de vestir,35230
2011,Morelos,Industria del papel,4122
2011,Morelos,Industria quimica,202947
2011,Morelos,Industria del plastico y del hule,158464
2011,Morelos,Fabricacion de productos a base de minerales no metalicos,108887
2011,Morelos,Fabricacion de productos metalicos,19524
2011,Morelos,Fabricacion de maquinaria y equipo,14714
2011,Morelos,Fabricacion de equipo de transporte,2364976
2011,Morelos,Otras industrias manufactureras,16858
2011,Nayarit,Subsectores no especificados,26045
2011,Nayarit,Industria alimentaria,75493
2011,Nuevo Leon,Subsectores no especificados,0
2011,Nuevo Leon,"Mineria de minerales metalicos y no metalicos, excepto petroleo y gas",12256
2011,Nuevo Leon,Industria alimentaria,829062
2011,Nuevo Leon,Industria de las bebidas y del tabaco,416496
2011,Nuevo Leon,Fabricacion de insumos textiles y acabado de textiles,19905
2011,Nuevo Leon,"Fabricacion de productos textiles, excepto prendas de vestir",50843
2011,Nuevo Leon,Fabricacion de prendas de vestir,34876
2011,Nuevo Leon,"Curtido y acabado de cuero y piel, y fabricacion de productos de cuero, piel y materiales sucedaneos",12224
2011,Nuevo Leon,Industria de la madera,9679
2011,Nuevo Leon,Industria del papel,181274
2011,Nuevo Leon,Impresion e industrias conexas,2348
2011,Nuevo Leon,Fabricacion de productos derivados del petroleo y del carbon,472117
2011,Nuevo Leon,Industria quimica,591361
2011,Nuevo Leon,Industria del plastico y del hule,1005112
2011,Nuevo Leon,Fabricacion de productos a base de minerales no metalicos,579162
2011,Nuevo Leon,Industrias metalicas basicas,1789992
2011,Nuevo Leon,Fabricacion de productos metalicos,1031158
2011,Nuevo Leon,Fabricacion de maquinaria y equipo,2380278
2011,Nuevo Leon,"Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos",3157953
2011,Nuevo Leon,"Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica",4163386
2011,Nuevo Leon,Fabricacion de equipo de transporte,7074825
2011,Nuevo Leon,"Fabricacion de muebles, colchones y persianas",102961
2011,Nuevo Leon,Otras industrias manufactureras,672388
2011,Oaxaca,Subsectores no especificados,961014
2011,Oaxaca,Industria alimentaria,21263
2011,Oaxaca,Industria quimica,14700
2011,Oaxaca,"Fabricacion de muebles, colchones y persianas",0
2011,Puebla,Subsectores no especificados,1124
2011,Puebla,Industria alimentaria,187172
2011,Puebla,Industria de las bebidas y del tabaco,3139
2011,Puebla,Fabricacion de insumos textiles y acabado de textiles,82760
2011,Puebla,"Fabricacion de productos textiles, excepto prendas de vestir",11091
2011,Puebla,Fabricacion de prendas de vestir,363455
2011,Puebla,Industria de la madera,85465
2011,Puebla,Industria del papel,88623
2011,Puebla,Industria quimica,207819
2011,Puebla,Industria del plastico y del hule,333036
2011,Puebla,Fabricacion de productos a base de minerales no metalicos,8739
2011,Puebla,Industrias metalicas basicas,69508
2011,Puebla,Fabricacion de productos metalicos,210218
2011,Puebla,Fabricacion de maquinaria y equipo,33335
2011,Puebla,Fabricacion de equipo de transporte,8963593
2011,Puebla,"Fabricacion de muebles, colchones y persianas",18081
2011,Puebla,Otras industrias manufactureras,25224
2011,Queretaro,Subsectores no especificados,179939
2011,Queretaro,Industria alimentaria,238745
2011,Queretaro,Industria de las bebidas y del tabaco,9817
2011,Queretaro,Fabricacion de prendas de vestir,120463
2011,Queretaro,Industria de la madera,0
2011,Queretaro,Industria del papel,123205
2011,Queretaro,Impresion e industrias conexas,23593
2011,Queretaro,Fabricacion de productos derivados del petroleo y del carbon,53723
2011,Queretaro,Industria quimica,464093
2011,Queretaro,Industria del plastico y del hule,271673
2011,Queretaro,Fabricacion de productos a base de minerales no metalicos,170016
2011,Queretaro,Industrias metalicas basicas,41568
2011,Queretaro,Fabricacion de productos metalicos,132249
2011,Queretaro,Fabricacion de maquinaria y equipo,404051
2011,Queretaro,"Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos",410978
2011,Queretaro,"Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica",260393
2011,Queretaro,Fabricacion de equipo de transporte,3183757
2011,Quintana Roo,Subsectores no especificados,100307
